id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	214
F9882	332.2293	494.59	490.65	498.21	5970	1844497	1.0	0.98	56	1	1884550
F9883	332.2293	502.81	499.2	506.08	5970	1312973	1.0	1.0	47	1	1352213
F9884	393.0202	33.37	32.11	35.26	7081	1479800	1.0	0.98	288	1	1490804
F9886	361.2729	650.95	647.17	654.73	6551	7994595	0.84	0.9	13	1	8038316
F9890	332.2423	309.0	306.64	313.04	5971	3543591	1.0	0.92	109	1	3563591
F9891	332.2423	380.07	376.43	384.05	5971	48836334	1.0	0.99	5277	1	48860334
F9892	332.2423	390.33	386.98	394.36	5971	21478110	1.0	0.99	2300	1	21501110
F9893	332.2423	574.46	570.64	575.71	5971	1639242	0.97	0.73	196	1	1656242
F9894	361.2769	472.39	469.72	476.37	6552	1184577	1.0	0.98	119	1	1209045
F9895	361.2769	480.21	476.7	484.03	6552	2358204	1.0	0.99	223	1	2378753
F9896	421.1079	298.35	295.42	301.93	7509	13567273	1.0	0.98	1611	1	13588273
F9897	332.2611	601.26	597.76	605.05	5972	17706924	1.0	0.96	1649	1	17730924
F9898	361.2924	635.51	631.71	638.35	6553	1739818	0.83	0.79	102	1	1743217
F9899	421.1874	661.3	659.42	664.74	7511	2694095	1.0	0.96	348	1	2722163
F9900	361.3099	576.34	573.19	580.13	6554	2387518	1.0	0.95	186	1	2431317
F9901	332.266	624.11	621.89	625.7	5973	1203819	1.0	0.96	150	1	1213068
F9902	332.266	627.92	625.7	631.08	5973	1647990	1.0	0.96	147	1	1637697
F9903	421.1995	558.38	556.78	561.93	7513	999517	1.0	0.98	126	1	1016522
F9904	332.2789	629.5	626.66	631.71	5974	1004116	1.0	0.97	71	1	1021122
F9905	421.2185	439.71	436.76	443.15	7514	2412024	1.0	0.95	270	1	2433032
F9906	421.2185	610.12	606.63	613.95	7514	6707667	1.0	0.98	531	1	6737305
F9907	421.2185	619.67	616.8	623.16	7514	1274399	0.81	0.98	123	1	1295408
F9909	332.2872	717.85	714.08	721.3	5975	229416293	1.0	0.92	180	1	229440293
F9910	421.2315	625.7	623.8	628.87	7515	14049833	1.0	0.95	1670	1	14066833
F9911	332.2922	820.44	812.91	829.22	5976	5843278	1.0	0.88	202	1	5908601
F9912	332.3058	535.72	531.81	539.64	5977	3565458	1.0	0.99	209	1	3598837
F9915	332.3152	599.67	595.84	603.17	5978	18043592	1.0	0.98	1681	1	18067592
F9921	361.3208	819.5	815.11	830.16	6556	35433817	1.0	0.88	1068	1	35482817
F9922	393.0887	250.86	246.89	254.51	7084	40742590	1.0	0.98	790	1	40766590
F9923	393.1196	570.64	567.76	574.14	7085	1480839	1.0	0.99	169	1	1506520
F9924	393.1281	395.03	391.34	399.06	7086	2564568	1.0	0.99	222	1	2592643
F9925	333.0671	495.57	491.97	499.53	5982	2034802	1.0	0.98	141	1	2061097
F9927	421.3086	823.57	821.7	825.45	7517	1253908	1.0	0.83	125	1	1306747
F9928	421.3086	827.33	825.45	830.48	7517	1505485	1.0	0.98	171	1	1551138
F9929	393.1432	347.28	344.7	351.26	7087	3128540	1.0	0.99	361	1	3152430
F9930	333.0742	198.08	194.68	201.76	5983	3704541	1.0	1.0	389	1	3726550
F9934	393.1569	516.83	514.22	519.1	7089	1590284	1.0	0.95	83	1	1620485
F9936	362.1477	102.37	98.59	106.17	6559	3168923	0.85	0.77	184	1	3238362
F9937	393.1616	766.94	763.16	768.83	7090	1748466	0.74	0.88	32	1	1726242
F9938	333.1067	395.37	391.34	399.4	5984	1135661	0.73	0.99	35	1	1162162
F9939	333.1067	503.8	500.18	507.7	5984	2838471	0.98	0.96	19	1	2865965
F9940	333.1067	575.4	571.59	578.54	5984	3433311	1.0	0.94	60	1	3471128
F9941	362.1699	731.06	727.28	734.2	6560	1273496	1.0	0.75	102	1	1297534
F9942	421.7168	440.03	437.09	442.22	7521	1218005	1.0	0.97	153	1	1258069
F9943	333.1226	347.28	345.34	350.59	5988	813791	1.0	0.99	105	1	830796
F9944	333.1226	406.45	404.79	409.09	5988	946388	1.0	0.99	133	1	957095
F9946	362.1782	513.24	509.32	517.16	6561	3204205	1.0	0.96	101	1	3245353
F9947	393.2221	190.93	188.21	194.34	7093	1141271	1.0	1.0	126	1	1164625
F9948	362.2028	448.63	446.34	452.28	6562	10883597	1.0	0.98	1605	1	10902597
F9949	362.2446	643.07	639.29	646.85	6564	3168504	0.78	0.79	78	1	3244189
F9950	421.7818	736.09	732.32	739.85	7523	38698157	1.0	0.91	2600	1	38723157
F9951	421.7818	742.68	742.05	743.62	7523	1457332	0.71	0.75	396	1	1463332
F9952	422.1133	298.04	296.11	300.27	7524	1103574	1.0	0.99	159	1	1113177
F9953	362.2764	651.26	647.48	655.04	6565	1353446	1.0	0.94	24	1	1427931
F9954	362.3069	576.34	572.55	580.13	6566	11379316	1.0	0.97	41	1	11470929
F9956	333.1438	406.78	402.78	410.76	5991	230184955	1.0	0.93	401	1	230209955
F9957	333.1438	438.42	434.43	442.22	5991	96668712	1.0	0.95	91	1	96693712
F9959	393.2774	719.73	715.97	723.18	7097	5777763	1.0	0.94	260	1	5860626
F9960	362.325	719.1	715.34	721.93	6567	1285394	0.76	0.82	109	1	1346008
F9961	362.325	817.94	816.05	820.13	6567	929564	0.76	0.96	106	1	960143
F9962	393.2816	529.85	525.95	533.76	7098	4199673	1.0	0.9	357	1	4225989
F9963	422.1369	253.17	249.22	257.22	7525	8589873	0.81	0.82	25	1	8632099
F9965	422.1369	325.66	322.65	329.68	7525	2628123	0.72	0.88	6	1	2673532
F9966	422.1369	346.31	342.76	350.26	7525	2426690	0.75	0.96	6	1	2465050
F9967	422.1369	369.7	365.67	373.4	7525	5551989	0.81	0.96	21	1	5601096
F9971	333.1572	492.95	490.33	495.92	5992	1164909	1.0	1.0	26	1	1189542
F9972	393.2849	518.78	514.87	522.68	7099	86517255	1.0	0.99	12031	1	86542255
F9973	362.3295	810.08	807.24	813.85	6568	1302826	1.0	0.74	101	1	1363695
F9974	422.2165	98.27	94.75	99.22	7526	2177829	1.0	0.99	262	1	2214863
F9975	422.2165	102.68	99.22	106.49	7526	5070083	1.0	0.84	327	1	5102800
F9976	333.1646	406.78	404.46	410.76	5993	1439811	1.0	0.92	138	1	1474084
F9977	363.0853	229.38	225.46	233.38	6569	10115407	1.0	1.0	785	1	10162599
F9978	422.2215	609.16	607.26	612.35	7527	769614	1.0	0.89	102	1	781856
F9979	422.2346	625.7	624.11	628.55	7528	2203089	1.0	0.95	267	1	2283820
F9980	363.1103	448.3	446.02	450.95	6570	823921	1.0	1.0	106	1	841818
F9982	333.1667	495.57	491.97	498.87	5994	10076292	1.0	0.94	29	1	10098292
F9983	333.1667	517.48	513.89	521.06	5994	21984136	1.0	0.98	44	1	22007136
F9986	393.2978	681.67	678.53	685.45	7100	4615931	0.97	0.76	10	1	4639833
F9987	393.2978	701.48	697.7	703.37	7100	2266414	0.73	0.99	11	1	2315969
F9988	393.2978	711.56	708.41	714.71	7100	2680388	0.71	0.91	9	1	2694095
F9989	393.2978	720.36	718.47	723.5	7100	1542904	0.71	0.82	9	1	1550172
F9990	363.1247	593.59	591.35	597.44	6572	1851112	1.0	0.86	189	1	1858902
F9991	422.3198	518.78	515.53	521.71	7530	1680520	1.0	0.99	229	1	1704289
F9992	333.193	570.0	566.14	573.83	5996	3647973	1.0	0.99	359	1	3676764
F9993	422.3253	596.8	592.95	600.62	7531	12172201	1.0	0.97	453	1	12304295
F9994	394.0528	386.32	383.72	387.98	7103	1139808	1.0	0.94	181	1	1165158
F9995	422.3467	707.46	703.69	711.24	7532	2642587	1.0	0.9	216	1	2686473
F9996	394.0918	251.51	247.56	255.53	7104	5816167	1.0	0.97	399	1	5865845
F9997	363.1543	513.89	509.97	517.81	6574	3731759	1.0	0.95	9	1	3785359
F9998	394.2885	518.78	515.53	521.39	7105	18117091	1.0	0.98	2610	1	18136091
F9999	333.2032	615.54	611.71	619.35	5997	11473568	1.0	0.89	67	1	11542418
F10002	363.162	730.74	726.96	733.89	6575	2327153	1.0	0.92	171	1	2381588
F10003	394.2942	548.09	544.83	551.97	7106	3078988	1.0	0.91	260	1	3101988
F10004	394.2942	558.06	554.83	560.96	7106	12124298	1.0	0.94	1097	1	12144298
F10005	394.2942	562.58	560.96	566.46	7106	6074548	1.0	0.95	542	1	6092548
F10006	363.183	570.32	567.76	573.83	6578	11653528	1.0	0.96	686	1	11673528
F10009	395.0988	599.03	595.84	601.26	7108	3808209	1.0	0.98	424	1	3830996
F10010	395.0988	603.8	601.26	607.58	7108	7009727	1.0	0.96	667	1	7043687
F10012	333.2051	519.42	517.16	523.01	5998	1559162	0.88	0.81	11	1	1578162
F10014	333.2051	588.15	585.25	591.99	5998	9901049	1.0	0.96	116	1	9923049
F10016	363.1918	455.2	453.26	457.46	6579	1645915	1.0	0.98	243	1	1671928
F10017	395.1044	250.86	246.89	254.85	7109	32063087	1.0	0.96	115	1	32088087
F10018	333.2073	636.77	633.93	640.55	5999	5665552	1.0	0.98	598	1	5700056
F10019	363.1954	455.52	453.91	457.14	6580	847405	1.0	0.99	145	1	891530
F10020	363.1954	647.17	645.59	649.06	6580	1296131	1.0	0.98	188	1	1333097
F10022	363.207	448.63	445.69	451.61	6581	1475172	0.88	1.0	182	1	1494180
F10023	395.1354	575.71	572.87	579.5	7110	33003757	1.0	0.92	61	1	33025757
F10025	422.785	735.77	731.69	744.88	7534	4561449	1.0	0.86	200	1	4614838
F10026	395.151	425.09	421.75	428.77	7111	1284822	1.0	0.99	149	1	1313539
F10027	333.2416	472.06	468.74	474.38	6001	1355559	0.73	0.95	32	1	1369354
F10028	333.2416	550.38	546.47	553.24	6001	1632728	0.82	0.99	11	1	1649530
F10029	363.2157	435.43	432.42	439.07	6584	11107221	1.0	1.0	84	1	11128221
F10030	363.2157	455.2	451.28	459.11	6584	330640167	1.0	1.0	6841	1	330665167
