id_number	mz	rtime	empCpd	neutral_formula	ion_relation	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	Bile_Acid_STD_HILICpos
F687	154.1339	0.5	kp327_153.1268		M0,M+H+	0.24	1.03	1007	6702891	1.0	0.9	64	1	6709891
F694	161.0558	299.67	783	C5H8N2O4	singleton	297.44	306.37	1096	4118717	1.0	0.93	131	1	4196096
F709	154.9903	1.29	798	C4H7Cl2NO	singleton	0.11	2.6	1012	313070566	1.0	0.95	1025	1	988298253
F712	135.0666	0.63	kp330_134.0592		M0,M+H+	0.11	1.03	750	1867000	1.0	0.95	8	1	1964203
F715	135.0806	28.8	kp43_134.0733		M0,M+H+	27.23	30.38	751	230299889	1.0	0.98	14064	1	230324889
F716	155.0816	0.63	kp332_113.0479		M0,M+H+	0.11	1.29	1016	6149366	1.0	0.96	21	1	6371830
F720	112.0873	0.5	kp264_111.0799		M0,ACN	0.11	1.29	509	19641365	1.0	0.96	60	1	19954887
F721	135.117	27.23	_singleton_726	C10H14	singleton	25.78	28.14	754	1242744	1.0	0.97	106	1	1238386
F722	135.117	123.6	727	C10H14	singleton	122.02	125.17	754	3109611	1.0	0.99	197	1	3145577
F723	155.0929	0.63	kp333_113.0591		M0,M+H+	0.11	1.29	1017	2486153	1.0	0.99	67	1	2496156
F730	155.1067	26.7	811	C9H12O	singleton	25.78	28.28	1018	1549193	1.0	0.85	55	1	1559998
F731	112.967	1.42	812	Li2Se	singleton	1.03	1.81	515	6786624	1.0	0.98	2129	1	6793624
F734	113.0349	362.04	813	C4H4N2O2	singleton	360.47	363.49	517	2694112	0.76	0.95	10	1	2732627
F736	162.0875	305.45	814	C5H8N2O3	singleton	303.87	307.02	1109	3194474	0.98	0.95	15	1	3225498
F740	113.0601	27.23	817	C6H6O	singleton	25.78	28.41	519	2448409	1.0	0.94	19	1	2583437
F741	162.1027	0.5	818	C9H8N2	singleton	0.24	1.03	1111	4887979	0.86	0.89	61	1	4894979
F743	162.1126	312.67	820	C7H16NO3	singleton	311.09	314.25	1112	29461780	0.78	0.93	6	1	30026446
F747	136.0758	176.79	_singleton_823	C8H7N	singleton	175.17	178.23	758	3297623	0.82	0.81	15	1	3321623
F752	156.0292	300.46	825	C6H5NO4	singleton	297.83	309.78	1027	5077933	1.0	0.79	110	1	5194893
F754	156.0656	342.21	826	C7H6O3	singleton	340.64	343.79	1028	2147317	0.86	0.87	43	1	2172273
F755	162.9979	273.67	529	C6H5ClS	singleton	272.1	275.25	1117	2982464	0.86	0.9	138	1	3005299
F757	136.087	0.5	kp263_94.0534		M0,ACN	0.11	1.16	760	12399340	1.0	0.95	30	1	12521638
F758	163.0755	26.17	_singleton_827	C10H8O	singleton	25.26	27.49	1120	1296069	0.94	0.96	58	1	1329299
F759	163.0755	361.78	828	C10H8O	singleton	360.2	363.35	1120	2388291	0.84	0.9	3	1	2447597
F760	113.2904	28.41	102779		singleton	27.23	29.98	523	16341095	1.0	0.92	1613	1	16363095
F761	113.2929	28.41	102780		singleton	27.49	29.98	524	13485868	1.0	0.89	1395	1	13505868
F762	113.5415	28.67	102781		singleton	27.49	30.25	525	4398624	1.0	0.9	433	1	4450425
F763	113.5434	28.67	102782		singleton	27.49	29.98	526	2520157	1.0	0.79	283	1	2588231
F764	163.0978	0.63	kp288_121.0641		M0,ACN	0.11	1.29	1122	9397281	1.0	0.94	33	1	9427244
F769	156.1132	409.97	831	C7H10N2O	singleton	391.85	444.11	1033	78720842	1.0	0.8	3	1	152059287
F772	114.0737	25.52	833	C5H11NSi	singleton	24.6	26.83	532	1082902	1.0	0.98	116	1	1118279
F776	163.1231	47.58	835	C10H14N2	singleton	46.0	49.15	1125	2952018	0.97	0.93	3	1	5060617
F778	156.1496	2.21	kp44_155.1424		M0,M+H+	1.95	3.65	1036	12877996	1.0	0.75	55	1	12891996
F787	163.1483	27.23	_singleton_838	C12H18	singleton	26.04	28.14	1127	2948859	1.0	0.99	324	1	2965869
F788	163.5852	25.78	102790		singleton	25.26	26.7	1128	832912	1.0	0.98	121	1	857972
F790	137.0711	223.31	kp45_136.0638		M0,M+H+	221.73	224.88	771	26403586	1.0	0.93	30	1	26778882
F795	157.0353	42.46	kp46_156.028		M0,M+H+	40.88	44.03	1042	237020072	1.0	0.92	137	1	237045072
F798	157.0498	26.96	_singleton_842	C7H8O4	singleton	25.78	27.88	1043	1184970	1.0	0.98	119	1	1213417
F799	164.0671	411.41	kp290_122.0333		M0,M+H+	402.48	474.7	1132	47463797	1.0	0.8	57	1	48017068
F804	137.0963	27.23	848	C9H10	singleton	25.65	28.41	775	2615003	1.0	0.98	72	1	2627335
F806	157.0973	0.5	kp340_115.0636		M0,ACN	0.24	1.16	1046	7512305	1.0	0.92	71	1	7544169
F809	114.1029	2.21	kp272_113.0955		M0,M+H+	2.08	3.78	537	8634777	1.0	0.71	67	1	8648777
F810	164.1183	0.5	kp294_122.0846		M0,M+H+	0.24	1.16	1138	7717920	1.0	0.77	261	1	7725920
F811	114.111	0.5	102792		singleton	0.11	1.03	538	2141324	1.0	0.96	429	1	2149327
F812	164.9207	130.07	102793		singleton	105.62	189.74	1140	31547759	0.87	0.87	26	1	32178806
F817	115.0545	28.67	852	C5H10NP	singleton	27.36	30.25	542	10321528	1.0	0.94	1268	1	10344528
F819	115.066	29.06	102794		singleton	27.62	30.64	543	6046975	1.0	0.97	516	1	6070612
F822	115.0682	29.46	854	C4H10N2Si	singleton	28.41	31.03	544	4261113	1.0	0.96	433	1	4260716
F824	137.9832	362.17	856	H5NO4S	singleton	360.6	363.75	777	3328552	1.0	0.98	187	1	3378799
F826	137.9985	1.42	_singleton_858	C4H5NOS	singleton	0.76	2.34	779	23305662	1.0	0.94	5429	1	23318662
F830	115.0757	27.36	861	C6H10O2	singleton	25.78	28.28	545	2280184	1.0	0.9	19	1	2313810
F831	138.0551	2.6	_singleton_862	C7H7NO2	singleton	1.81	4.18	781	2432252	0.72	0.78	6	1	2687955
F832	138.0551	249.31	863	C7H7NO2	singleton	247.73	250.88	781	7299398	0.74	0.97	7	1	7541345
F833	158.0348	42.85	864	C5H6F4O	singleton	41.28	44.16	1055	3318774	1.0	0.86	230	1	3304344
F839	165.0447	410.63	_singleton_869	C5H11NO3S	singleton	409.58	411.94	1146	2224400	1.0	0.84	35	1	2309708
F843	165.0477	416.53	871	C8H8N2S	singleton	415.88	417.06	1147	1589696	0.91	0.75	26	1	1457202
F847	165.0593	412.33	_singleton_874	C7H8BNO3	singleton	411.68	413.91	1150	2453858	0.8	0.91	23	1	2421316
F854	115.0869	0.63	kp342_114.0795		M0,M+H+	0.11	1.29	546	21918477	1.0	0.97	31	1	22918398
F855	158.0964	1.29	_singleton_880	C11H8	singleton	0.5	2.21	1060	4028657	0.92	0.94	5	1	4201447
F862	165.0773	0.5	887	C7H16S2	singleton	0.11	1.03	1155	1064345	1.0	0.88	34	1	1072348
F866	116.0458	333.68	891	C4H8BOS	singleton	267.76	361.39	549	38353931	0.93	0.83	4	1	39063608
F867	138.0663	0.63	kp269_96.0327		M0,ACN	0.11	1.16	783	3833926	1.0	1.0	10	1	4190110
F870	158.1288	2.6	kp344_157.1217		M0,M+H+	1.95	4.18	1062	1638206	0.99	0.79	152	1	1700338
F871	158.1288	395.92	892	C7H13N3	singleton	372.15	418.64	1062	23393049	1.0	0.88	13	1	23736975
F873	165.1136	0.63	kp21_164.1063		M0,M+H+	0.24	1.16	1158	7105558	1.0	0.84	63	1	7113558
F876	158.1541	1.03	kp50_157.1468		M0,M+H+	0.37	1.68	1064	42338242	1.0	0.9	243	1	42357144
F879	116.0822	0.76	kp282_74.0485		M0,ACN	0.24	1.03	551	7556442	1.0	0.86	28	1	7832902
F880	116.091	0.5	102795		singleton	0.11	1.16	552	29594176	1.0	0.94	8108	1	29603176
F882	116.0945	0.5	kp345_115.087		M0,M+H+	0.11	1.03	553	22632586	1.0	0.94	6434	1	22640586
F884	165.8617	25.52	102797		singleton	24.07	27.09	1160	3352427	1.0	0.94	9	1	3383640
F885	138.9954	1.29	kp51_137.9879		M0,M+H+	0.11	2.73	791	454618319	1.0	0.98	78432	1	809987391
F886	165.8656	25.52	102798		singleton	23.94	27.09	1161	2446284	1.0	0.97	10	1	2450591
F890	159.031	42.33	900	C4H3FN4O2	singleton	40.75	43.77	1069	19795813	1.0	0.91	266	1	19819813
F891	116.3427	0.37	102799		singleton	0.11	0.9	557	8354900	1.0	0.94	2389	1	8361900
F892	116.3452	0.5	102800		singleton	0.11	1.03	558	7300411	1.0	0.92	1944	1	7308411
F894	159.066	25.91	901	C7H10O4	singleton	25.12	27.23	1071	1222330	1.0	0.97	157	1	1230669
F896	139.0502	234.47	_singleton_903	C6H6N2O2	singleton	232.89	235.91	793	6339252	0.88	0.85	6	1	6674871
F911	117.0701	28.67	915	C9H8	singleton	27.09	30.25	562	16431200	1.0	0.9	1082	1	16456200
F912	166.1125	25.65	102801		singleton	24.21	27.09	1175	1435665	1.0	0.99	54	1	1458675
F915	139.0867	0.63	kp347_138.0794		M0,M+H+	0.24	1.16	797	10557962	0.8	0.92	38	1	10732157
F916	166.1341	0.5	kp348_165.1267		M0,M+H+	0.11	1.03	1178	8843758	1.0	0.93	86	1	8851758
F918	117.1026	0.5	kp343_116.0951		M0,ACN	0.11	1.42	564	32042892	1.0	0.96	62	1	32485972
F921	167.0129	1.42	916	C3HF5O	singleton	0.9	2.08	1180	8897903	1.0	0.92	119	1	8907903
F932	179.0139	1.29	922	C7H8O2S	singleton	0.9	1.81	1329	909870	1.0	0.88	30	1	917873
F935	167.0856	40.62	924	C5H11NO2S	singleton	39.04	42.06	1184	5499544	1.0	1.0	467	1	5577639
F936	167.0929	0.5	925	C7H8N4	singleton	0.24	1.16	1185	5306545	1.0	0.87	91	1	5314545
F939	118.0655	28.8	kp53_117.0582		M0,M+H+	27.23	30.25	570	41752937	1.0	0.96	150	1	42434499
F941	167.1068	27.23	665	C10H12O		25.91	28.41	1186	3244537	1.0	0.98	123	1	3357954
F945	140.0343	2.73	927	C6H5NO3	singleton	2.08	4.31	813	892916	1.0	0.75	88	1	938858
F950	179.0929	0.5	kp268_178.0854		M0,M+H+	0.11	1.03	1335	1555784	1.0	0.88	19	1	1563787
F951	140.0569	249.83	931	C4H3N5	singleton	247.21	253.25	816	2249550	0.95	0.91	8	1	2304542
F954	179.1068	27.23	934	C11H14O2	singleton	25.78	28.14	1336	1163274	1.0	0.93	106	1	1182281
F957	194.9754	2.86	937	C5H6ClNO3S	singleton	2.21	4.31	1584	1365288	1.0	0.88	148	1	1348620
F958	179.1295	0.63	kp5_178.122		M0,M+H+	0.37	1.03	1339	4964312	1.0	0.95	1701	1	4970312
F959	195.0057	1.81	kp56_152.9717		M0,ACN	0.76	2.34	1585	44725304	1.0	0.79	34	1	44738304
F964	140.0819	0.63	kp281_98.0483		M0,M+H+	0.24	1.16	819	11563210	1.0	0.92	25	1	11884793
F965	168.0631	227.12	_singleton_567	C6H11NO3	singleton	190.44	234.08	1193	12408406	1.0	0.76	23	1	12733680
F968	168.0658	269.73	940	C8H7NO2	singleton	268.16	271.31	1194	4716148	0.86	0.78	34	1	4743924
F976	140.1183	0.63	kp285_139.111		M0,M+H+	0.24	1.16	822	11072773	1.0	0.97	190	1	11080773
F983	195.1382	26.96	952	C12H18O2		25.39	28.14	1593	4127869	1.0	1.0	285	1	4130215
F988	195.9902	370.05	954	C3H9ClNO3P	singleton	368.74	371.63	1598	1573411	1.0	0.79	121	1	1602187
F989	168.1496	0.5	955	C9H14N2	singleton	0.11	0.76	1200	3587264	0.75	0.91	63	1	3593264
F992	195.9934	369.66	kp354_194.9866		M0,M+H+	368.08	371.23	1599	6499204	0.73	0.92	90	1	6540795
F998	180.8945	128.76	102805		singleton	105.19	192.67	1353	32651446	1.0	0.82	76	1	33313717
F1001	196.0001	368.08	_singleton_961	C8H4O6	singleton	367.03	368.34	1601	1756549	0.76	0.87	7	1	1905823
F1002	196.0001	369.66	962	C8H4O6	singleton	369.13	370.18	1601	2157549	1.0	0.97	12	1	2166552
F1003	180.9945	1.03	963	C7H8ClP	singleton	0.5	1.55	1358	1526803	1.0	0.96	59	1	1535807
F1005	196.004	369.79	kp58_194.9969		M0,M+H+	368.21	371.36	1602	801375054	0.74	0.86	7	1	892889204
F1008	196.0125	369.13	_singleton_964	C8H8N2S2	singleton	368.08	369.53	1604	1543303	0.74	0.87	168	1	1589766
F1009	196.0125	371.23	_singleton_965	C8H8N2S2	singleton	370.58	371.89	1604	1045813	0.77	0.85	146	1	976071
F1010	196.0125	372.28	966	C8H8N2S2	singleton	371.89	373.2	1604	757778	0.79	1.0	117	1	778847
F1020	211.0005	296.65	kp453_398.5089		M0,M+H+, 2x charged	295.07	298.23	1830	4548552	1.0	0.75	272	1	4581262
F1021	211.0005	298.88	kp454_398.5089		M0,Na/H, 2x charged	298.36	300.46	1830	1994293	1.0	0.97	183	1	2005526
F1022	169.1449	0.63	_singleton_974	C8H16N4	singleton	0.11	1.16	1209	1522175	1.0	0.88	306	1	1531179
F1023	169.1449	2.47	975	C8H16N4	singleton	1.95	3.78	1209	1457153	1.0	0.77	187	1	1478283
F1027	196.1194	0.5	978	C8H18S2	singleton	0.11	1.03	1610	1244994	1.0	0.88	250	1	1252995
F1039	181.026	1.29	kp60_180.0189		M0,M+H+	0.76	1.81	1366	3242557	1.0	0.99	650	1	3251560
F1040	181.026	32.61	kp355_193.6941		M0,ACN	31.43	34.18	1366	8859739	1.0	0.99	879	1	8889634
F1041	211.0079	295.86	_singleton_990	C6H2ClF2NO2	singleton	294.94	296.13	1832	1034469	0.77	0.89	16	1	1127709
F1045	211.0603	234.47	994	C10H10O5	singleton	229.09	241.04	1835	5587035	0.72	0.91	4	1	5674657
F1046	211.0691	276.17	_singleton_995	C7H9N5O3	singleton	274.59	277.35	1836	2747809	0.78	0.96	10	1	2783034
F1047	211.0691	278.14	996	C7H9N5O3	singleton	277.35	279.71	1836	2817148	0.78	0.76	10	1	2882283
F1054	196.1446	0.37	kp357_195.1374		M0,M+H+	0.11	1.29	1613	7625319	1.0	0.99	20	1	8198462
F1060	196.1557	447.52	1007	C9H14N4	singleton	425.46	464.33	1614	17218773	1.0	0.91	30	1	17526369
F1066	170.0925	0.76	kp358_169.0853		M0,M+H+	0.24	1.16	1215	3896700	1.0	0.82	43	1	3904700
F1068	211.133	27.23	1012	C12H16O2	singleton	25.91	28.28	1840	1760060	1.0	0.94	144	1	1791497
F1069	196.9903	3.52	kp61_195.983		M0,M+H+	2.34	5.1	1618	4632305	1.0	0.85	117	1	4663589
F1070	196.9927	3.26	1013	C4H6N4S2	singleton	2.34	4.7	1619	3331474	1.0	0.9	259	1	3321607
F1075	181.1084	0.63	1018	C8H10N4	singleton	0.24	1.03	1375	4707237	1.0	0.8	49	1	4714237
F1083	196.9969	313.85	_singleton_1025	C5H3FN2O4	singleton	312.28	315.3	1620	19613884	0.88	0.86	50	1	19637884
F1086	170.1177	25.52	1028	C9H12O2	singleton	24.21	27.09	1218	2690903	0.78	0.88	4	1	2817729
F1087	181.1224	27.09	1029	C11H16O2	singleton	25.91	28.14	1376	2296575	1.0	0.98	218	1	2337787
F1088	211.1554	0.5	_singleton_1030	C10H16N4	singleton	0.11	1.03	1842	1121849	1.0	0.87	110	1	1129850
F1090	211.1695	27.23	1032	C13H20O	singleton	26.17	28.14	1843	1589724	1.0	0.99	168	1	1605731
F1091	170.1224	25.65	1033	C10H19P	singleton	24.21	27.23	1219	1472112	1.0	0.99	21	1	1514393
F1092	197.001	1.55	kp63_154.9672		M0,ACN	0.63	2.6	1621	585775648	1.0	0.98	18	1	798967629
F1093	197.001	3.26	kp62_195.9937		M0,M+H+	2.6	4.83	1621	390260603	0.8	0.9	8	1	580313292
F1107	211.9966	297.96	1042	C5H10NO2PS2	singleton	292.32	301.51	1849	4252888	1.0	0.94	26	1	4313164
F1108	181.9884	1.42	kp352_139.9545		M0,ACN	0.5	2.34	1382	234352083	1.0	0.92	18441	1	234367083
F1109	181.9884	2.6	kp351_153.6303		M0,M+H+	2.34	4.18	1382	25461132	0.88	0.74	1115	1	25476132
F1116	182.0223	3.0	1048	C6H3F4NO	singleton	2.21	4.44	1386	1874674	1.0	0.8	168	1	1923064
F1117	212.0685	32.74	1049	C10H12O5	singleton	31.56	34.18	1855	2255199	1.0	0.97	228	1	2284426
F1121	171.1171	28.14	1052	C13H14	singleton	27.23	28.67	1231	625998	0.71	0.85	15	1	643302
F1130	171.1322	170.71	102806		singleton	86.9	247.21	1234	86003899	1.0	0.85	7	1	87231681
F1131	212.1493	47.84	1057	C8H18O5	singleton	46.4	49.42	1860	1827938	1.0	0.98	62	1	1834964
F1138	182.0966	55.75	1062	C5H12N2O2S	singleton	54.18	57.33	1393	3022805	0.83	0.95	192	1	3096363
F1141	212.9862	3.26	kp360_170.9523		M0,ACN	2.08	4.83	1864	5692957	0.79	0.72	10	1	5713726
F1146	213.0164	296.65	1067	C10H6O4	singleton	291.66	302.95	1866	12877338	0.88	0.88	20	1	12964338
F1152	172.0718	289.69	_singleton_1073	C6H9N3O3	singleton	288.12	291.14	1241	3043730	0.81	0.94	7	1	3080555
F1153	172.0718	294.16	1074	C6H9N3O3	singleton	292.58	295.73	1241	3135899	0.8	0.85	6	1	3195886
F1154	198.1127	334.6	947	C10H13NO2	singleton	328.69	339.46	1640	7918163	1.0	0.95	44	1	8004283
F1157	172.0757	2.47	1075	C11H6O	singleton	1.95	7.36	1242	1837995	1.0	0.75	45	1	1880008
F1169	198.1238	0.5	kp339_197.1162		M0,M+H+	0.11	1.03	1641	5864446	1.0	0.84	57	1	5945712
F1173	182.1629	376.75	_singleton_774	C8H21N3	singleton	376.09	377.93	1401	6420892	0.81	0.76	6	1	6404508
F1191	172.1526	3.65	102807		singleton	2.34	4.57	1249	11187301	0.71	0.91	3	1	13067376
F1192	172.1526	4.83	102808		singleton	4.57	6.18	1249	7594544	0.71	0.78	3	1	8850001
F1203	182.9852	1.29	kp270_181.9779		M0,M+H+	0.11	2.73	1406	472029015	1.0	0.98	43785	1	4858330223
F1207	172.9566	1.29	1101	C2H4O5S2	singleton	0.37	2.21	1253	6334567	0.89	0.94	22	1	5959216
F1215	214.0227	313.2	1106	C5H11O7P	singleton	311.62	314.64	1881	4191260	0.72	0.97	104	1	4212209
F1219	214.0975	2.6	1109	C12H9N3	singleton	2.08	3.0	1883	899131	0.8	0.96	234	1	907131
F1238	183.0626	273.8	kp365_182.0553		M0,M+H+	272.23	275.38	1412	9186442	1.0	0.98	24	1	9269495
F1239	214.1188	0.63	kp366_172.085		M0,ACN	0.24	1.03	1885	1415595	0.73	0.84	322	1	1611942
F1240	214.1188	342.08	_singleton_1127	C9H13N3O2	singleton	340.51	343.66	1885	8349790	0.79	0.98	93	1	8381997
F1244	173.0962	28.8	1130	C12H12O	singleton	27.36	30.11	1260	2319101	1.0	0.89	243	1	2341110
F1246	198.997	6.57	_singleton_1131	C5H8N2OS2	singleton	6.05	7.23	1656	1263575	0.75	0.92	17	1	1273577
F1247	198.997	8.15	_singleton_1132	C5H8N2OS2	singleton	7.62	8.81	1656	2037864	0.79	0.94	20	1	2194742
F1251	198.997	14.85	_singleton_1136	C5H8N2OS2	singleton	14.32	15.54	1656	1902070	0.77	0.96	11	1	1779052
F1255	198.997	21.58	_singleton_1140	C5H8N2OS2	singleton	20.92	22.24	1656	1661228	0.74	0.94	12	1	1672233
F1268	198.997	253.12	_singleton_1153	C5H8N2OS2	singleton	251.54	254.69	1656	4806036	0.74	0.93	16	1	4848017
F1271	198.997	344.45	_singleton_1156	C5H8N2OS2	singleton	343.92	345.63	1656	2619141	0.74	0.81	12	1	2572101
F1272	198.997	349.57	_singleton_1157	C5H8N2OS2	singleton	349.04	350.49	1656	2583162	0.8	0.84	13	1	2713812
F1273	198.997	352.98	_singleton_1158	C5H8N2OS2	singleton	352.46	353.51	1656	1136448	0.74	0.88	6	1	1145451
F1274	198.997	356.13	_singleton_1159	C5H8N2OS2	singleton	355.74	356.66	1656	1090134	0.74	0.88	4	1	1098136
F1278	198.997	367.69	_singleton_1163	C5H8N2OS2	singleton	367.29	368.34	1656	2023740	0.8	0.87	5	1	2314864
F1279	198.997	369.66	_singleton_1164	C5H8N2OS2	singleton	369.26	370.84	1656	1895533	0.79	0.81	4	1	1908538
F1284	183.1241	0.5	_singleton_1167	C8H12N4	singleton	0.11	1.16	1416	2988392	1.0	0.99	67	1	2997395
F1291	173.1326	27.23	950	C13H16	singleton	26.17	28.28	1264	4013390	1.0	0.99	448	1	4030395
F1300	215.0114	3.13	kp367_214.0041		M0,M+H+	2.21	4.7	1895	29292296	0.85	0.72	20	1	29312296
F1311	183.9652	361.39	kp277_141.9314		M0,ACN	354.82	367.95	1422	14973973	1.0	0.96	29	1	15070302
F1317	183.9932	2.21	1184	C4HF2N3O2	singleton	1.81	3.13	1424	902325	0.86	0.85	24	1	929822
F1327	215.9846	4.18	1192	Au	singleton	3.78	4.83	1907	1213903	0.78	0.9	200	1	1277722
F1336	184.0719	282.21	1200	C7H7N3O2	singleton	269.6	290.74	1431	11238295	1.0	0.83	23	1	11399161
F1342	216.1236	0.5	_singleton_1202	C10H14O4		0.11	1.03	1915	1983923	1.0	0.95	75	1	1991925
F1343	174.9534	3.39	1205	C6H5Cl2Si	singleton	2.21	4.83	1282	1307166	1.0	0.82	106	1	1331198
F1344	184.1082	0.37	kp279_183.101		M0,M+H+	0.24	1.16	1436	5985017	1.0	0.72	47	1	6033517
F1347	216.1346	217.4	1206	C11H20O4	singleton	127.18	243.27	1916	40359831	0.91	0.72	27	1	41249626
F1348	174.9916	297.96	1207	C2H4O6S	singleton	292.45	302.56	1284	4604990	1.0	0.96	39	1	4688574
F1349	216.1597	27.09	1208	C11H21NO3	singleton	26.31	27.88	1917	1144001	1.0	0.99	152	1	1157008
F1350	216.2436	2.47	1209	C12H29N3	singleton	1.95	4.05	1918	2557043	1.0	0.79	53	1	2578254
F1356	217.0116	3.39	1211	C4H7O7P	singleton	2.34	4.97	1920	3001509	0.81	0.73	7	1	3048109
F1357	199.9755	0.5	kp372_198.9682		M0,M+H+	0.11	1.16	1672	7860889	0.88	0.94	54	1	7869889
F1359	175.0756	26.57	1212	C11H8O	singleton	25.91	27.49	1288	891270	1.0	0.99	123	1	904277
F1364	199.9908	297.57	1215	C6H8ClNOS	singleton	296.39	299.15	1675	2958394	0.72	0.88	207	1	2867955
F1365	217.0934	313.72	1216	C7H10N4O3	singleton	312.14	315.3	1923	4358015	0.72	0.93	14	1	4418649
F1366	175.1079	311.09	1217	C7H11NO3	singleton	309.52	312.67	1291	17251140	0.96	0.97	11	1	17251746
F1367	175.1119	26.44	1218	C12H12	singleton	25.52	28.01	1292	1748353	1.0	0.89	186	1	1780858
F1370	199.9992	296.65	kp106_198.9918		M0,M+H+	291.0	309.91	1676	1411672501	1.0	0.96	11	1	2039887573
F1371	184.9854	1.42	_singleton_1221	C3H5O7P	singleton	0.11	2.21	1447	45291595	1.0	0.84	338	1	45308595
F1377	175.1191	380.42	_singleton_1225	C6H15N4O2	singleton	379.9	381.08	1293	4904246	0.74	0.93	4	1	4902220
F1378	175.1191	382.92	_singleton_1226	C6H15N4O2	singleton	382.0	383.71	1293	6711923	0.74	0.83	4	1	6802203
F1387	200.0104	295.6	kp455_398.5089		M0,M+H+, 2x charged	294.16	296.26	1678	1657198	1.0	0.98	156	1	1718969
F1392	217.1074	361.25	1204	C10H14O4	singleton	359.28	365.06	1926	5286524	0.92	0.92	17	1	5322964
F1393	175.1443	2.21	_singleton_1235	C8H18N2O2	singleton	1.68	3.78	1295	2587686	1.0	0.74	292	1	2599469
F1396	217.1296	299.8	kp75_216.1224		M0,M+H+	298.23	301.38	1928	26212454	1.0	0.89	236	1	26237454
F1397	217.1408	264.05	_singleton_1249	C14H20Si	singleton	262.47	265.66	1929	2200276	0.77	0.93	10	1	2253456
F1398	217.1408	274.85	1250	C14H20Si	singleton	273.28	276.43	1929	2743586	0.78	0.71	35	1	2771031
F1400	185.0462	411.28	kp375_184.0392		M0,M+H+	403.8	442.4	1451	18569827	1.0	0.8	70	1	18865319
F1402	217.1452	2.47	1251	C12H13N3	singleton	1.95	3.13	1930	953082	1.0	0.99	183	1	994185
F1403	185.0558	319.1	1252	C7H5NO4	singleton	313.72	328.69	1452	4452864	1.0	0.82	112	1	4573286
F1411	200.0737	1.03	1261	C9H13NO2S	singleton	0.5	1.55	1682	1380435	1.0	0.96	170	1	1389439
F1419	218.1137	299.67	_singleton_1245	C8H13N3O3	singleton	298.09	301.25	1942	3429695	0.73	0.87	3	1	3467421
F1420	218.1137	303.35	_singleton_1246	C8H13N3O3	singleton	301.77	304.92	1942	5374337	0.75	0.97	4	1	5374991
F1421	218.1137	326.19	_singleton_1247	C8H13N3O3	singleton	324.62	327.77	1942	5761025	0.76	0.94	5	1	5808338
F1422	218.1137	331.71	1248	C8H13N3O3	singleton	330.13	333.29	1942	14759092	1.0	0.94	18	1	14733518
F1423	218.125	317.0	1263	C9H18N2O4	singleton	315.43	318.58	1943	2813196	0.95	0.97	172	1	2883639
F1425	218.1289	0.5	1264	C12H15N3O	singleton	0.11	1.03	1944	1205375	1.0	0.88	242	1	1213378
F1426	200.176	2.34	1265	C10H21N3O	singleton	1.81	3.65	1687	1023648	1.0	0.91	90	1	1038655
F1429	176.0929	335.78	kp331_134.0592		M0,ACN	334.2	337.36	1302	5337251	0.82	0.98	3	1	5424377
F1435	218.1395	2.47	_singleton_1276	C10H16O4	singleton	1.95	3.52	1946	898630	0.77	0.95	111	1	888872
F1436	218.1395	233.29	_singleton_1277	C10H16O4	singleton	231.71	234.86	1946	12203968	1.0	0.99	450	1	12322007
F1437	218.1395	302.82	1278	C10H16O4	singleton	301.25	304.0	1946	1681238	0.72	0.96	19	1	1716596
F1446	218.598	29.33	102815		singleton	28.93	29.85	1949	606205	1.0	0.88	80	1	614208
F1457	177.0136	253.25	1290	C7H7ClS	singleton	251.67	254.82	1309	7009956	1.0	0.95	95	1	7088246
F1476	177.1135	0.5	kp262_176.106		M0,M+H+	0.11	1.03	1316	9300337	1.0	0.93	279	1	9308337
F1477	186.1125	30.11	1307	C9H12O3	singleton	29.59	31.03	1471	913299	1.0	0.98	148	1	925304
F1486	220.1446	0.5	1310	C12H14N2O	singleton	0.24	1.03	1972	4001673	1.0	0.95	1118	1	4008673
F1494	201.1135	0.5	kp241_198.0997		13C/12C*2,M+H+	0.11	1.03	1704	1777588	1.0	0.96	357	1	1785592
F1495	178.1082	0.76	kp338_136.0747		M0,ACN	0.24	1.29	1323	1897088	1.0	0.96	18	1	1906090
F1497	220.181	218.45	1314	C13H21N3	singleton	107.72	250.75	1975	82658241	1.0	0.76	50	1	83750023
F1501	201.1639	157.36	1317	C15H20	singleton	155.78	158.94	1709	3496779	1.0	0.99	259	1	3561117
F1504	221.1133	303.22	1320	C8H13NO5	singleton	288.38	317.66	1979	16143296	1.0	0.96	59	1	16371883
F1516	221.1762	2.47	1330	C12H20N4	singleton	1.95	3.65	1984	696062	1.0	0.92	103	1	710069
F1517	187.098	0.5	1331	C7H15FNO2	singleton	0.11	1.16	1485	2511843	1.0	0.98	124	1	2520846
F1533	221.6297	374.52	102819		singleton	373.6	376.09	1986	1344922	1.0	0.93	107	1	1390235
F1537	187.1078	303.87	1349	C8H11NO3	singleton	302.3	304.66	1486	3552914	0.76	0.74	3	1	3610532
F1544	202.0711	157.89	1353	C8H9NO4	singleton	138.16	173.73	1716	15328745	1.0	0.92	12	1	15598849
F1545	187.1442	0.5	_singleton_1354	C9H18N2O2	singleton	0.11	1.16	1488	3543830	1.0	0.97	74	1	3576770
