,mz,Bile_Acid_STD_HILICpos
423,105.9961051940918,423
424,106.0378303527832,424
425,106.03974533081055,425
426,106.04414367675781,426
427,106.04476165771484,427
428,106.04610824584961,428
429,106.04797744750977,429
430,106.04898262023926,430
431,106.05035781860352,431
432,106.06548690795898,432
433,106.08226776123047,433
434,106.08367919921875,434
435,106.0846061706543,435
436,106.08521461486816,436
437,106.08670425415039,437
438,106.95100784301758,438
439,107.04954147338867,439
440,107.0859489440918,440
441,107.09003067016602,441
442,107.51773834228516,442
443,107.96724319458008,443
444,108.05602645874023,444
445,108.05812072753906,445
446,108.06047821044922,446
447,108.07635116577148,447
448,108.08116912841797,448
449,108.08927536010742,449
450,108.09087753295898,450
451,108.31021118164062,451
452,108.31243324279785,452
453,108.31325912475586,453
454,108.31380271911621,454
455,108.31459617614746,455
456,108.31523704528809,456
457,108.31583023071289,457
458,108.3163890838623,458
459,109.0228385925293,459
460,109.04001998901367,460
461,109.0652084350586,461
462,109.0764274597168,462
463,109.10161590576172,463
464,109.2968978881836,464
465,109.29929733276367,465
466,109.52231216430664,466
467,109.52449226379395,467
468,109.54786109924316,468
469,109.54988098144531,469
470,110.01573753356934,470
471,110.01678466796875,471
472,110.02029609680176,472
473,110.02427673339844,473
474,110.06044006347656,474
475,110.0636157989502,475
476,110.07163619995117,476
477,110.07973861694336,477
478,110.09685897827148,478
479,110.5185775756836,479
480,110.5221061706543,480
481,111.01716613769531,481
482,111.02055358886719,482
483,111.02269744873047,483
484,111.02346801757812,484
485,111.03938674926758,485
486,111.0444450378418,486
487,111.05567169189453,487
488,111.06380462646484,488
489,111.06687927246094,489
490,111.0750846862793,490
491,111.08085632324219,491
492,111.08879852294922,492
493,111.09002685546875,493
494,111.09207534790039,494
495,111.09382820129395,495
496,111.51931381225586,496
497,111.52188110351562,497
498,111.56216430664062,498
499,111.5642318725586,499
500,111.96853256225586,500
501,111.98454666137695,501
502,112.01826858520508,502
503,112.0202865600586,503
504,112.02111434936523,504
505,112.03965377807617,505
506,112.05091857910156,506
507,112.0621452331543,507
508,112.07611083984375,508
509,112.0872917175293,509
510,112.09542846679688,510
511,112.11246490478516,511
512,112.51839637756348,512
513,112.51992797851562,513
514,112.89612197875977,514
515,112.96696472167969,515
516,113.0171012878418,516
517,113.03490447998047,517
518,113.05423927307129,518
519,113.06005477905273,519
520,113.07129287719727,520
521,113.08256149291992,521
522,113.10769271850586,522
523,113.29037475585938,523
524,113.29287719726562,524
525,113.54147338867188,525
526,113.54343032836914,526
527,113.9510383605957,527
528,113.96391296386719,528
529,114.0171012878418,529
530,114.05523681640625,530
531,114.06651306152344,531
532,114.07366943359375,532
533,114.07452011108398,533
534,114.07539367675781,534
535,114.07780075073242,535
536,114.09169387817383,536
537,114.1029281616211,537
538,114.11101150512695,538
539,114.1280403137207,539
540,114.94780731201172,540
541,115.05059814453125,541
542,115.05448913574219,542
543,115.06598663330078,543
544,115.06821632385254,544
545,115.0757064819336,545
546,115.08694458007812,546
547,115.09502792358398,547
548,115.1233139038086,548
549,116.04582977294922,549
550,116.07095718383789,550
551,116.08219146728516,551
552,116.09104919433594,552
553,116.0944709777832,553
554,116.10734939575195,554
555,116.11859512329102,555
556,116.14374923706055,556
557,116.3426628112793,557
558,116.34524154663086,558
559,116.97745132446289,559
560,117.06619262695312,560
561,117.06858444213867,561
562,117.07012939453125,562
563,117.07743835449219,563
564,117.1025619506836,564
565,117.11065292358398,565
566,117.13898086547852,566
567,118.05021286010742,567
568,118.06146621704102,568
569,118.06325912475586,569
570,118.06546020507812,570
571,118.06951141357422,571
572,118.07438659667969,572
573,118.07510375976562,573
574,118.07592391967773,574
575,118.07876777648926,575
576,118.08013534545898,576
577,118.08161163330078,577
578,118.08439636230469,578
579,118.0865707397461,579
580,118.0884895324707,580
581,118.09156227111816,581
582,118.09298896789551,582
583,118.0943832397461,583
584,118.09589385986328,584
585,118.10895156860352,585
586,118.10988998413086,586
587,118.11065292358398,587
588,118.12042999267578,588
589,118.12112998962402,589
590,118.12296295166016,590
591,118.12539291381836,591
592,118.12652587890625,592
593,118.14234161376953,593
594,118.31458282470703,594
595,118.31726455688477,595
596,118.56550216674805,596
597,118.56796836853027,597
598,118.97188186645508,598
599,119.02558326721191,599
600,119.04951477050781,600
601,119.06082534790039,601
602,119.06886100769043,602
603,119.08177947998047,603
604,119.08365058898926,604
605,119.08583068847656,605
606,119.08989334106445,606
607,119.09249877929688,607
608,119.12628555297852,608
609,120.01144027709961,609
610,120.02579116821289,610
611,120.04380798339844,611
612,120.04536819458008,612
613,120.0460319519043,613
614,120.04801177978516,614
615,120.05022811889648,615
616,120.0516242980957,616
617,120.05318450927734,617
618,120.05592346191406,618
619,120.06583404541016,619
620,120.08106994628906,620
621,120.08914566040039,621
622,120.09077072143555,622
623,120.09138488769531,623
624,120.10223770141602,624
625,120.96649551391602,625
626,121.02867317199707,626
627,121.04504013061523,627
628,121.04742050170898,628
629,121.05131912231445,629
630,121.06510543823242,630
631,121.0692024230957,631
632,121.07625961303711,632
633,121.0844612121582,633
634,121.09251022338867,634
635,121.10148620605469,635
636,121.97467041015625,636
637,122.04381942749023,637
638,122.04451751708984,638
639,122.06034088134766,639
640,122.07149505615234,640
641,122.09670639038086,641
642,122.5474967956543,642
643,122.96449279785156,643
644,123.04057693481445,644
645,123.04806518554688,645
646,123.05556106567383,646
647,123.06677627563477,647
648,123.08075332641602,648
649,123.09195327758789,649
650,123.0998649597168,650
651,123.11710739135742,651
652,123.94104766845703,652
653,124.0243911743164,653
654,124.03953170776367,654
655,124.07598114013672,655
656,124.08715057373047,656
657,124.11238098144531,657
658,125.02531814575195,658
659,125.0711898803711,659
660,125.07950401306152,660
661,125.08242416381836,661
662,125.09056091308594,662
663,125.0965805053711,663
664,125.10757064819336,664
665,126.02191925048828,665
666,126.05523300170898,666
667,126.06642150878906,667
668,126.09164810180664,668
669,126.10282897949219,669
670,126.10504913330078,670
671,126.11087036132812,671
672,126.1279296875,672
673,127.05043411254883,673
674,127.06169128417969,674
675,127.0728874206543,675
676,127.07551574707031,676
677,127.08682632446289,677
678,127.09807205200195,678
679,127.1120777130127,679
680,127.12322616577148,680
681,128.07080841064453,681
682,128.08203887939453,682
683,128.0901336669922,683
684,128.10716247558594,684
685,128.11846923828125,685
686,128.14360809326172,686
687,128.51380920410156,687
688,128.95099639892578,688
689,128.9537353515625,689
690,129.05493545532227,690
691,129.06605529785156,691
692,129.10247802734375,692
693,129.13882446289062,693
694,129.95867156982422,694
695,129.9875946044922,695
696,130.05008697509766,696
697,130.06532287597656,697
698,130.06945037841797,698
699,130.0865020751953,699
700,130.09524536132812,700
701,130.0977020263672,701
702,130.10578155517578,702
703,130.1088523864746,703
704,130.12273406982422,704
705,130.13410568237305,705
706,130.1564483642578,706
707,130.15923309326172,707
708,130.16182708740234,708
709,130.5334129333496,709
710,130.98300170898438,710
711,131.0816879272461,711
712,131.08434295654297,712
713,131.08557891845703,713
714,131.11807250976562,714
715,131.12930297851562,715
716,131.15455627441406,716
717,131.16253662109375,717
718,131.53365325927734,718
719,132.00341033935547,719
720,132.03536987304688,720
721,132.06573486328125,721
722,132.0769271850586,722
723,132.0799331665039,723
724,132.08097076416016,724
725,132.10208892822266,725
726,132.5312957763672,726
727,133.02790069580078,727
728,133.03152465820312,728
729,133.03248596191406,729
730,133.0331573486328,730
731,133.06097412109375,731
732,133.06365966796875,732
733,133.06487274169922,733
734,133.07620239257812,734
735,133.0795135498047,735
736,133.08031463623047,736
737,133.09720611572266,737
738,133.101318359375,738
739,133.1054229736328,739
740,133.13365936279297,740
741,133.98260498046875,741
742,134.06028747558594,742
743,134.07140350341797,743
744,134.08129119873047,744
745,134.0966339111328,745
746,134.11772918701172,746
747,134.97256469726562,747
748,135.0441436767578,748
749,135.05541229248047,749
750,135.06661987304688,750
751,135.08055114746094,751
752,135.08478546142578,752
753,135.0919647216797,753
754,135.11695098876953,754
755,136.02165985107422,755
756,136.05067443847656,756
757,136.0619125366211,757
758,136.07583618164062,758
759,136.0839385986328,759
760,136.0869903564453,760
761,136.11219024658203,761
762,136.9402618408203,762
763,136.99063110351562,763
764,137.00006866455078,764
765,137.04593658447266,765
766,137.05584716796875,766
767,137.05715560913086,767
768,137.05904388427734,768
769,137.05985260009766,769
770,137.06529235839844,770
771,137.07109832763672,771
772,137.07445526123047,772
773,137.08235931396484,773
774,137.0901336669922,774
775,137.09627532958984,775
776,137.1074981689453,776
777,137.98324584960938,777
778,137.98757934570312,778
779,137.9985122680664,779
780,138.04927825927734,780
781,138.0550765991211,781
782,138.05819702148438,782
783,138.0663299560547,783
784,138.07447052001953,784
785,138.09144592285156,785
786,138.10267639160156,786
787,138.1106719970703,787
788,138.12784576416016,788
789,138.72481536865234,789
790,138.72767639160156,790
791,138.99535369873047,791
792,139.01801300048828,792
793,139.05023956298828,793
794,139.0578384399414,794
795,139.06153106689453,795
796,139.0755157470703,796
797,139.08668518066406,797
798,139.09494400024414,798
799,139.09789276123047,799
800,139.1117401123047,800
801,139.11841583251953,801
802,139.12001037597656,802
803,139.12307739257812,803
804,139.1260643005371,804
805,139.127685546875,805
806,139.91472625732422,806
807,139.96321868896484,807
808,139.98797607421875,808
809,139.9911346435547,809
810,139.9924087524414,810
811,139.9957733154297,811
812,140.00188446044922,812
813,140.0343246459961,813
