id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	Bile_Acid_STD_HILICpos
F360	103.8016	28.67	27.23	30.25	385	54109086	1.0	0.99	5172	1	54133086
F361	103.8038	28.8	27.23	30.38	386	45496382	1.0	0.99	4360	1	45521382
F362	80.0278	42.72	41.14	44.16	176	17419835	1.0	0.82	17	1	17443835
F364	147.0653	28.93	27.36	30.25	924	6386792	1.0	0.99	625	1	6418402
F365	80.05	0.63	0.11	1.16	177	2183755	1.0	0.94	10	1	2357140
F373	147.0894	283.52	281.94	285.1	928	3854039	0.92	0.8	46	1	3881859
F374	104.0524	28.67	27.36	30.25	389	14103361	1.0	0.98	1363	1	14126361
F375	80.1669	100.33	43.77	213.46	178	68746344	0.71	0.83	3	1	69982926
F376	104.0546	28.67	27.36	30.11	390	11862922	1.0	0.95	1216	1	11884922
F377	104.0624	28.8	27.36	30.25	391	14767256	1.0	0.96	1518	1	14790256
F378	147.0918	31.82	30.51	33.4	929	21313362	1.0	0.97	219	1	21375730
F379	126.0219	413.12	403.14	442.53	665	18701677	1.0	0.78	67	1	19011633
F394	147.1169	27.49	26.17	28.14	932	1163790	0.83	0.95	125	1	1179797
F395	104.1074	204.27	202.96	205.71	397	21338413	0.73	0.89	10	1	21947576
F396	104.8275	0.5	0.11	1.16	398	29196750	1.0	0.97	8296	1	29205750
F397	104.8298	0.5	0.11	1.16	399	24065496	1.0	0.98	6979	1	24074496
F398	126.0916	0.63	0.11	1.29	668	3227110	1.0	0.97	52	1	3352009
F399	81.0176	42.46	40.88	44.03	185	902606768	1.0	0.91	15	1	904107787
F402	81.0259	42.19	40.62	43.77	190	34996532	1.0	0.94	17	1	35021532
F405	126.1028	0.5	0.24	1.16	669	15275741	1.0	0.91	57	1	15602148
F409	82.0209	42.33	40.75	43.51	194	16619424	0.83	0.95	20	1	16641424
F412	82.0657	0.5	0.24	0.9	195	2889068	0.75	0.94	1020	1	2895068
F415	147.9982	254.3	252.72	255.91	936	2716931	0.79	0.95	22	1	2747347
F418	83.0167	42.33	40.88	43.38	199	2592813	0.77	0.94	71	1	2685693
F420	148.0605	332.23	330.66	333.02	937	3994935	0.78	0.97	6	1	4045546
F422	148.0605	340.38	339.59	341.95	937	3314232	0.74	0.95	5	1	3334281
F423	148.0605	361.12	359.68	361.78	937	3287584	0.78	0.99	7	1	3331697
F424	148.0605	363.49	361.91	365.06	937	5064980	0.78	0.89	7	1	5120509
F425	83.0498	28.67	27.09	29.59	200	2753113	1.0	0.95	315	1	2801790
F426	83.061	1.16	0.11	2.21	207	807200676	1.0	0.98	18	1	949408412
F427	105.0663	0.76	0.24	1.29	417	11916668	1.0	0.89	49	1	12057857
F428	148.095	31.69	30.77	33.27	940	1663929	1.0	0.97	180	1	1680045
F429	83.0638	1.29	0.9	1.81	209	915454	1.0	0.88	151	1	923457
F430	105.0703	28.8	27.23	30.38	418	29209855	1.0	0.94	3124	1	29234855
F437	105.0784	0.5	0.11	1.03	420	8288970	1.0	0.92	2255	1	8296970
F438	84.058	0.76	0.24	1.81	216	5020891	1.0	0.88	26	1	5246236
F439	127.0868	0.5	0.24	1.29	677	20801815	1.0	0.96	41	1	21500168
F441	105.9961	258.01	250.23	262.74	423	5359483	1.0	0.86	60	1	5460028
F442	127.0981	0.63	0.11	1.29	678	2636643	1.0	0.98	486	1	2646645
F443	127.0981	2.47	1.95	3.92	678	1129161	1.0	0.71	119	1	1141122
F445	127.1121	27.23	25.65	28.01	679	1364327	1.0	0.93	128	1	1398864
F449	128.0708	0.37	0.11	0.9	681	1274546	0.86	0.85	14	1	1571293
F457	84.0643	0.9	0.11	1.16	217	22930739	1.0	0.91	22	1	24240585
F459	149.0234	0.76	0.11	1.95	944	322625014	1.0	0.98	17999	1	750476787
F460	128.0901	0.5	0.11	1.03	683	930179	1.0	0.88	187	1	938181
F461	106.0655	28.54	26.96	30.11	432	9417462	1.0	0.98	18	1	10898504
F467	85.029	28.93	27.36	29.46	220	3091483	1.0	0.95	375	1	3118238
F472	107.0859	28.67	27.09	30.25	440	79850553	1.0	0.97	8209	1	79875553
F475	129.0549	28.93	27.36	30.25	690	7024383	1.0	1.0	677	1	7023273
F476	85.0766	0.5	0.24	1.16	223	17707080	1.0	0.94	31	1	18127403
F479	149.0823	0.76	0.24	1.03	947	5211525	1.0	0.73	26	1	5218525
F480	149.0962	27.09	26.31	28.28	948	1348038	1.0	0.96	141	1	1364043
F489	149.1075	405.11	364.27	447.52	949	29736812	0.98	0.76	5	1	30382444
F490	149.1326	27.09	25.91	28.01	950	1466041	1.0	0.96	142	1	1459916
F494	86.2474	25.65	24.73	26.17	227	686566	1.0	0.99	104	1	698571
F495	150.0267	0.5	0.11	1.16	953	59412898	1.0	0.97	17438	1	59421898
F496	108.056	0.5	0.11	1.16	444	2569678	1.0	0.99	13	1	2578680
F499	108.0581	28.67	27.62	30.25	445	32490852	1.0	0.97	3463	1	32511852
F500	108.0605	28.67	27.62	30.25	446	26870883	1.0	0.98	2776	1	26891883
F502	87.0447	303.48	301.9	305.05	229	3284942	0.89	0.88	30	1	3311138
F504	108.0812	0.63	0.11	1.55	448	4692389	1.0	0.98	12	1	4796463
F506	108.0893	29.06	27.49	30.51	449	6335156	1.0	0.97	645	1	6391190
F507	109.0228	1.16	0.11	2.47	459	311643334	1.0	0.87	40925	1	406737332
F509	87.0558	0.76	0.11	1.42	231	3841021	1.0	0.99	7	1	4313370
F510	130.0653	88.61	87.17	90.19	697	6105313	0.91	0.85	100	1	6129313
F514	130.0865	0.5	0.11	1.16	699	2604321	1.0	0.93	13	1	2620618
F518	150.0775	83.62	82.05	85.2	959	54758346	0.81	0.97	86	1	54783346
F522	109.0652	27.36	26.04	28.14	461	1191748	1.0	0.97	96	1	1208755
F526	130.0977	0.63	0.11	1.16	701	7226516	1.0	0.88	47	1	7353975
F528	150.0914	153.91	152.33	155.52	961	3913776	0.85	0.92	16	1	3938776
F529	88.0399	295.47	280.63	310.31	235	11856265	1.0	0.85	16	1	12078168
F530	109.1016	27.23	25.65	28.67	463	11030445	1.0	0.98	83	1	11022872
F531	150.1026	0.63	0.11	1.16	962	11386002	1.0	0.98	90	1	11395002
F532	130.1089	166.9	165.28	168.47	703	16819446	1.0	0.95	1048	1	16844446
F533	109.2969	28.41	27.09	29.98	464	19072373	1.0	0.93	1961	1	19095373
F534	88.0511	0.76	0.37	1.29	237	2346204	1.0	0.95	7	1	2892099
F535	109.2993	28.41	27.23	29.98	465	15903252	1.0	0.94	1558	1	15925252
F537	109.5223	1.29	0.11	2.6	466	355071866	1.0	0.95	7574	1	531047938
F539	109.5479	29.06	27.49	29.85	468	4361162	1.0	0.84	376	1	4383303
F540	109.5499	28.93	27.75	29.72	469	2035543	1.0	0.9	297	1	2000597
F541	110.0203	1.16	0.11	2.73	472	329626819	1.0	0.96	1338607	1	12692376313
F542	130.1341	3.0	1.95	3.92	705	1087766	1.0	0.95	121	1	1140381
F543	151.0808	84.15	82.57	85.72	969	3612786	1.0	0.98	181	1	3668409
F544	151.0867	0.63	0.11	1.16	970	3386333	1.0	1.0	16	1	3567439
F551	151.1118	27.36	26.17	28.28	972	1281169	1.0	0.98	122	1	1322558
F554	151.9988	296.78	290.22	305.58	974	8154059	1.0	0.97	51	1	8280896
F555	89.0351	0.5	0.24	1.16	247	4554507	1.0	0.76	15	1	4562507
F559	110.0716	0.63	0.24	1.16	476	17536482	1.0	0.97	23	1	18055796
F566	131.0817	0.63	0.11	1.29	711	7289709	0.78	0.98	8	1	8187760
F568	131.0817	298.62	297.04	299.93	711	18470071	0.75	0.99	3	1	20444394
F569	131.0817	303.22	301.77	304.79	711	21900543	0.76	0.98	3	1	24000807
F570	89.0715	0.63	0.24	1.68	250	7332786	1.0	0.99	7	1	8966672
F573	131.0856	26.83	26.04	28.01	713	1100941	0.92	0.9	92	1	1142886
F574	152.0819	0.5	0.11	1.16	978	7430875	1.0	0.89	30	1	7439875
F578	131.1546	2.34	1.81	3.92	716	2362455	1.0	0.83	285	1	2380435
F582	89.5071	1.16	0.11	2.47	254	308914241	1.0	0.94	133518	1	1279929801
F583	90.0058	1.42	0.76	1.95	255	10129517	1.0	0.92	2761	1	10139517
F587	152.1071	133.0	131.42	134.57	981	8624865	0.87	0.98	37	1	8649865
F589	90.0581	301.25	299.8	302.3	266	1596514	0.75	0.74	127	1	1662142
F590	152.1183	0.63	0.11	1.16	982	17142413	1.0	0.97	146	1	17159052
F595	111.0444	0.5	0.11	1.03	486	1574009	1.0	0.97	117	1	1582011
