id_number	mz	rtime	empCpd	neutral_formula	ion_relation	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	214
F7147	263.0767	480.21	7326	C11H10N4O4	singleton	478.33	482.1	4177	7190364	1.0	0.78	1126	1	7203364
F7148	234.0755	347.28	7327	C12H8O4	singleton	344.38	351.26	3474	1981031	0.73	0.98	36	1	2006295
F7150	234.1082	40.02	7331	C8H15N3O5	singleton	37.47	43.22	3475	1104504	1.0	0.98	19	1	1123513
F7155	311.1847	518.13	kp713_310.1772		M0,M+H+	514.55	522.03	5500	38566761	1.0	0.98	76	1	38590761
F7159	263.0885	480.21	kp317_240.0992		M0,Na/H	476.37	484.03	4181	1117295117	1.0	0.99	2378	1	2006260808
F7160	311.1889	703.69	7334	C14H28O4S	singleton	700.85	707.46	5501	1929212	1.0	0.74	141	1	1958765
F7171	263.1063	480.21	6832	C18H14O2	singleton	477.69	483.7	4183	4749156	1.0	0.99	461	1	4769163
F7175	311.1999	452.61	_singleton_7342	C21H26O2	singleton	450.28	455.52	5502	941785	1.0	0.99	78	1	958792
F7176	311.1999	470.05	7343	C21H26O2	singleton	466.43	473.38	5502	1755652	1.0	1.0	115	1	1783271
F7177	286.1218	544.83	7344	C20H12O	singleton	542.9	547.77	4827	2036789	1.0	0.97	256	1	2052795
F7181	311.2039	545.82	7345	C16H25BO4	singleton	542.9	549.07	5503	2449758	0.87	0.97	285	1	2469758
F7182	263.1234	34.62	_singleton_7346	C10H16N2O5	singleton	32.43	38.42	4185	5535753	1.0	0.89	417	1	5592340
F7183	263.1234	43.85	_singleton_7347	C10H16N2O5	singleton	40.02	47.32	4185	3158707	0.91	0.83	180	1	3209188
F7184	263.1234	478.65	_singleton_7348	C10H16N2O5	singleton	476.37	480.21	4185	846124	0.74	0.94	27	1	885880
F7185	263.1234	481.47	_singleton_7349	C10H16N2O5	singleton	480.21	484.03	4185	1052626	0.75	0.85	30	1	994158
F7186	263.1234	495.24	_singleton_7350	C10H16N2O5	singleton	492.95	497.88	4185	1043034	0.76	0.94	29	1	1078938
F7187	263.1234	504.12	7351	C10H16N2O5	singleton	500.51	507.7	4185	1235538	0.76	0.93	23	1	1254722
F7189	234.1333	239.08	kp714_233.1263		M0,M+H+	235.36	243.17	3478	9653436	1.0	0.99	97	1	9677436
F7191	286.1263	544.83	kp715_285.1187		M0,M+H+	540.94	548.75	4828	6865873	1.0	0.96	92	1	6919888
F7197	311.221	605.68	_singleton_7353	C18H30O4	singleton	601.9	606.63	5505	6390696	0.72	0.94	6	1	3792569
F7198	311.221	607.58	_singleton_7354	C18H30O4	singleton	609.48	611.39	5505	3761776	0.74	0.97	6	1	1059200
F7201	263.1269	338.74	kp2042_262.1198		M0,M+H+	335.72	342.76	4186	3647966	0.85	0.97	52	1	3669966
F7203	263.1269	448.3	kp2043_262.1198		M0,M+H+	444.41	451.94	4186	19775412	1.0	0.99	72	1	19799412
F7205	263.1269	469.07	_singleton_7361	C14H16N4	singleton	467.09	472.72	4186	2346632	0.83	0.86	7	1	2364632
F7208	286.1303	544.83	5751	C13H17ClN2O2	singleton	541.27	547.77	4829	4502307	1.0	0.98	551	1	4490384
F7214	234.1612	572.55	7364	C13H16N2O	singleton	570.64	575.4	3483	897760	1.0	0.98	105	1	898701
F7215	286.1431	545.16	kp666_285.1358		M0,M+H+	541.27	549.07	4831	946237468	1.0	0.99	3598	1	1076148587
F7216	286.1563	544.51	kp716_285.1489		M0,M+H+	542.25	548.09	4832	2921074	1.0	0.97	323	1	2963708
F7221	263.1615	574.77	kp717_240.1722		M0,Na/H	571.91	578.54	4187	12103196	1.0	0.9	85	1	12125196
F7223	263.1615	586.22	kp1951_240.1721		M0,M+H+	583.97	590.07	4187	4241387	0.86	0.86	24	1	4261387
F7228	286.1599	545.16	7368	C8H21N7O3	singleton	541.92	548.75	4834	5458964	1.0	0.99	570	1	5463914
F7229	234.9433	157.91	7369	C6FeN6	singleton	153.76	162.04	3486	1703351	1.0	0.92	108	1	1735706
F7230	286.1644	545.82	5774	C14H20O5	singleton	541.92	547.77	4835	1519119	1.0	0.88	201	1	1541816
F7231	286.1692	545.16	7370	C15H27O3P	singleton	543.55	547.77	4836	812889	1.0	0.99	124	1	843792
F7234	263.1638	524.97	_singleton_7373	C16H22O3	singleton	522.03	528.88	4188	4015931	0.94	0.92	8	1	4074600
F7235	263.1638	533.44	_singleton_7374	C16H22O3	singleton	529.85	536.7	4188	4357997	1.0	0.93	11	1	4389041
F7236	263.1638	552.29	_singleton_7375	C16H22O3	singleton	548.42	556.14	4188	8191377	1.0	0.99	18	1	8203982
F7238	286.1841	298.98	7377	C18H23FN2	singleton	295.77	301.93	4838	2626184	1.0	0.99	248	1	2656554
F7239	263.1744	479.27	7378	C13H18N5	singleton	476.7	480.53	4190	913091	1.0	0.98	102	1	922612
F7240	286.1878	298.98	_singleton_7379	C15H25N3O	singleton	295.77	301.59	4840	1669217	0.75	0.99	180	1	1706760
F7241	286.2007	298.98	kp718_285.1931		M0,M+H+	295.09	302.94	4841	449916683	1.0	0.98	4131	1	449941683
F7242	286.2007	306.3	kp719_285.1934		M0,M+H+	303.94	310.35	4841	54568066	1.0	0.98	560	1	54588066
F7243	286.2007	323.66	kp720_285.1934		M0,M+H+	320.31	327.67	4841	18259716	0.96	0.97	76	1	18282716
F7244	286.2174	299.62	7386	C19H27NO	singleton	296.11	301.59	4842	1716065	1.0	0.84	180	1	1750510
F7245	286.229	708.72	7046	C20H30O	singleton	704.94	712.51	4843	7069010	1.0	0.98	521	1	7105870
F7246	263.1999	372.05	_singleton_7380	C15H25N3O	singleton	368.36	376.09	4191	4726569	1.0	0.99	271	1	4758077
F7247	263.1999	558.71	kp721_262.1927		M0,M+H+	554.83	562.58	4191	7630649	1.0	0.97	12	1	7676739
F7258	286.2371	601.26	_singleton_7392	C14H30N4O2	singleton	599.67	602.85	4844	980662	0.85	0.76	57	1	991662
F7260	286.2371	650.0	kp722_285.2297		M0,M+H+	647.17	653.78	4844	15721698	1.0	0.94	1152	1	15743698
F7272	263.2365	645.59	kp724_262.2293		M0,M+H+	643.39	649.37	4192	17467423	0.75	0.87	8	1	17487423
F7273	235.0251	250.53	6959	C7H16OS3	singleton	246.56	254.51	3496	5722284	1.0	1.0	356	1	5788283
F7274	235.0273	280.94	7400	C9H14OS3	singleton	276.87	285.02	3497	2951729	1.0	0.99	214	1	2995495
F7275	286.2735	513.24	_singleton_5843	C17H32O2	singleton	509.64	516.51	4847	9350576	0.77	0.9	8	1	9372576
F7276	286.2735	520.07	kp725_285.2662		M0,M+H+	516.51	523.99	4847	29031158	1.0	0.95	37	1	29055158
